Player,Season,N_teams
Adam Fox,2022,1
Adam Fox,2023,1
Adam Gaudette,2018,1
Adam Gaudette,2019,1
Adam Gaudette,2020,1
Adam Gaudette,2021,2
Adam Gaudette,2022,2
Adam Ginning,2023,1
Adam Hall,2006,1
Adam Hall,2007,2
Adam Hall,2008,1
Adam Hall,2009,1
Adam Hall,2011,1
Adam Hall,2012,1
Adam Hall,2013,3
Adam Hall,2014,1
Adam Hauser,2006,1
Adam Henrique,2011,1
Adam Henrique,2012,1
Adam Henrique,2013,1
Adam Henrique,2014,1
Adam Henrique,2015,1
Adam Henrique,2016,1
Adam Henrique,2017,1
Adam Henrique,2018,2
Adam Henrique,2019,1
Adam Henrique,2020,1
Adam Henrique,2021,1
Adam Henrique,2022,1
Adam Henrique,2023,1
Adam Huska,2022,1
Adam Johnson,2019,1
Adam Johnson,2020,1
Adam Larsson,2012,1
Adam Larsson,2013,1
Adam Larsson,2014,1
Adam Larsson,2015,1
Adam Larsson,2016,1
Adam Larsson,2017,1
Adam Larsson,2018,1
Adam Larsson,2019,1
Adam Larsson,2020,1
Adam Larsson,2021,1
Adam Larsson,2022,1
Adam Larsson,2023,1
Adam Lowry,2015,1
Adam Lowry,2016,1
Adam Lowry,2017,1
Adam Lowry,2018,1
Adam Lowry,2019,1
Adam Lowry,2020,1
Adam Lowry,2021,1
Adam Lowry,2022,1
Adam Lowry,2023,1
Adam Mair,2006,1
Adam Mair,2007,1
Adam Mair,2008,1
Adam Mair,2009,1
Adam Mair,2010,1
Adam Mair,2011,1
Adam McQuaid,2010,1
Adam McQuaid,2011,1
Adam McQuaid,2012,1
Adam McQuaid,2013,1
Adam McQuaid,2014,1
Adam McQuaid,2015,1
Adam McQuaid,2016,1
Adam McQuaid,2017,1
Adam McQuaid,2018,1
Adam McQuaid,2019,2
Adam Munro,2006,1
Adam Pardy,2009,1
Adam Pardy,2010,1
Adam Pardy,2011,1
Adam Pardy,2012,1
Adam Pardy,2013,1
Adam Pardy,2014,1
Adam Pardy,2015,1
Adam Pardy,2016,2
Adam Pardy,2017,1
Adam Payerl,2014,1
Adam Pelech,2016,1
Adam Pelech,2017,1
Adam Pelech,2018,1
Adam Pelech,2019,1
Adam Pelech,2020,1
Adam Pelech,2021,1
Adam Pelech,2022,1
Adam Pelech,2023,1
Adam Pineault,2008,1
Adam Raška,2022,1
Adam Raška,2023,1
Adam Ružička,2021,1
Adam Ružička,2022,1
Adam Ružička,2023,1
Adam Werner,2020,1
Adam Wilcox,2018,1
Adin Hill,2018,1
Adin Hill,2019,1
Adin Hill,2020,1
Adin Hill,2021,1
Adin Hill,2022,1
Adin Hill,2023,1
Adrian Aucoin,2006,1
Adrian Aucoin,2007,1
Adrian Aucoin,2008,1
Adrian Aucoin,2009,1
Adrian Aucoin,2010,1
Adrian Aucoin,2011,1
Adrian Aucoin,2012,1
Adrian Aucoin,2013,1
Adrian Kempe,2017,1
Adrian Kempe,2018,1
Adrian Kempe,2019,1
Adrian Kempe,2020,1
Adrian Kempe,2021,1
Adrian Kempe,2022,1
Adrian Kempe,2023,1
Aidan McDonough,2023,1
Aki Berg,2006,1
Akim Aliu,2012,1
Akim Aliu,2013,1
Akira Schmid,2022,1
Akira Schmid,2023,1
Akito Hirose,2023,1
Al Montoya,2009,1
Al Montoya,2011,1
Al Montoya,2012,1
Al Montoya,2013,1
Al Montoya,2014,1
Al Montoya,2015,1
Al Montoya,2016,1
Al Montoya,2017,1
Al Montoya,2018,2
Alain Nasreddine,2006,1
Alain Nasreddine,2007,1
Alain Nasreddine,2008,1
Alan Quine,2016,1
Alan Quine,2017,1
Alan Quine,2018,1
Alan Quine,2019,1
Alan Quine,2020,1
Alec Martinez,2010,1
Alec Martinez,2011,1
Alec Martinez,2012,1
Alec Martinez,2013,1
Alec Martinez,2014,1
Alec Martinez,2015,1
Alec Martinez,2016,1
Alec Martinez,2017,1
Alec Martinez,2018,1
Alec Martinez,2019,1
Alec Martinez,2020,2
Alec Martinez,2021,1
Alec Martinez,2022,1
Alec Martinez,2023,1
Alec Regula,2021,1
Alec Regula,2022,1
Alec Regula,2023,1
Aleksander Barkov,2014,1
Aleksander Barkov,2015,1
Aleksander Barkov,2016,1
Aleksander Barkov,2017,1
Aleksander Barkov,2018,1
Aleksander Barkov,2019,1
Aleksander Barkov,2020,1
Aleksander Barkov,2021,1
Aleksander Barkov,2022,1
Aleksander Barkov,2023,1
Aleksi Heponiemi,2021,1
Aleksi Heponiemi,2022,1
Aleksi Heponiemi,2023,1
Aleksi Saarela,2020,1
Alex Auld,2006,1
Alex Auld,2007,1
Alex Auld,2008,2
Alex Auld,2009,1
Alex Auld,2010,2
Alex Auld,2011,1
Alex Auld,2012,1
Alex Barré-Boulet,2021,1
Alex Barré-Boulet,2022,2
Alex Barré-Boulet,2023,1
Alex Belzile,2021,1
Alex Belzile,2022,1
Alex Belzile,2023,1
Alex Biega,2015,1
Alex Biega,2016,1
Alex Biega,2017,1
Alex Biega,2018,1
Alex Biega,2019,1
Alex Biega,2020,1
Alex Biega,2021,1
Alex Biega,2022,1
Alex Broadhurst,2018,1
Alex Brooks,2007,1
Alex Chiasson,2013,1
Alex Chiasson,2014,1
Alex Chiasson,2015,1
Alex Chiasson,2016,1
Alex Chiasson,2017,1
Alex Chiasson,2018,1
Alex Chiasson,2019,1
Alex Chiasson,2020,1
Alex Chiasson,2021,1
Alex Chiasson,2022,1
Alex Chiasson,2023,1
Alex DeBrincat,2018,1
Alex DeBrincat,2019,1
Alex DeBrincat,2020,1
Alex DeBrincat,2021,1
Alex DeBrincat,2022,1
Alex DeBrincat,2023,1
Alex Formenton,2018,1
Alex Formenton,2019,1
Alex Formenton,2021,1
Alex Formenton,2022,1
Alex Foster,2008,1
Alex Friesen,2016,1
Alex Frolov,2006,1
Alex Frolov,2007,1
Alex Frolov,2008,1
Alex Frolov,2009,1
Alex Frolov,2010,1
Alex Frolov,2011,1
Alex Galchenyuk,2013,1
Alex Galchenyuk,2014,1
Alex Galchenyuk,2015,1
Alex Galchenyuk,2016,1
Alex Galchenyuk,2017,1
Alex Galchenyuk,2018,1
Alex Galchenyuk,2019,1
Alex Galchenyuk,2020,2
Alex Galchenyuk,2021,2
Alex Galchenyuk,2022,1
Alex Galchenyuk,2023,1
Alex Goligoski,2008,1
Alex Goligoski,2009,1
Alex Goligoski,2010,1
Alex Goligoski,2011,2
Alex Goligoski,2012,1
Alex Goligoski,2013,1
Alex Goligoski,2014,1
Alex Goligoski,2015,1
Alex Goligoski,2016,1
Alex Goligoski,2017,1
Alex Goligoski,2018,1
Alex Goligoski,2019,1
Alex Goligoski,2020,1
Alex Goligoski,2021,1
Alex Goligoski,2022,1
Alex Goligoski,2023,1
Alex Grant,2014,1
Alex Grant,2016,1
Alex Henry,2006,1
Alex Henry,2009,1
Alex Iafallo,2018,1
Alex Iafallo,2019,1
Alex Iafallo,2020,1
Alex Iafallo,2021,1
Alex Iafallo,2022,1
Alex Iafallo,2023,1
Alex Killorn,2013,1
Alex Killorn,2014,1
Alex Killorn,2015,1
Alex Killorn,2016,1
Alex Killorn,2017,1
Alex Killorn,2018,1
Alex Killorn,2019,1
Alex Killorn,2020,1
Alex Killorn,2021,1
Alex Killorn,2022,1
Alex Killorn,2023,1
Alex Kovalev,2006,1
Alex Kovalev,2007,1
Alex Kovalev,2008,1
Alex Kovalev,2009,1
Alex Kovalev,2010,1
Alex Kovalev,2011,2
Alex Kovalev,2013,1
Alex Lyon,2018,1
Alex Lyon,2019,1
Alex Lyon,2020,1
Alex Lyon,2021,1
Alex Lyon,2022,1
Alex Lyon,2023,1
Alex Nedeljkovic,2017,1
Alex Nedeljkovic,2019,1
Alex Nedeljkovic,2020,1
Alex Nedeljkovic,2021,1
Alex Nedeljkovic,2022,1
Alex Nedeljkovic,2023,1
Alex Newhook,2021,1
Alex Newhook,2022,1
Alex Newhook,2023,1
Alex Ovechkin,2006,1
Alex Ovechkin,2007,1
Alex Ovechkin,2008,1
Alex Ovechkin,2009,1
Alex Ovechkin,2010,1
Alex Ovechkin,2011,1
Alex Ovechkin,2012,1
Alex Ovechkin,2013,1
Alex Ovechkin,2014,1
Alex Ovechkin,2015,1
Alex Ovechkin,2016,1
Alex Ovechkin,2017,1
Alex Ovechkin,2018,1
Alex Ovechkin,2019,1
Alex Ovechkin,2020,1
Alex Ovechkin,2021,1
Alex Ovechkin,2022,1
Alex Ovechkin,2023,1
Alex Pietrangelo,2009,1
Alex Pietrangelo,2010,1
Alex Pietrangelo,2011,1
Alex Pietrangelo,2012,1
Alex Pietrangelo,2013,1
Alex Pietrangelo,2014,1
Alex Pietrangelo,2015,1
Alex Pietrangelo,2016,1
Alex Pietrangelo,2017,1
Alex Pietrangelo,2018,1
Alex Pietrangelo,2019,1
Alex Pietrangelo,2020,1
Alex Pietrangelo,2021,1
Alex Pietrangelo,2022,1
Alex Pietrangelo,2023,1
Alex Plante,2010,1
Alex Plante,2011,1
Alex Plante,2012,1
Alex Stalock,2011,1
Alex Stalock,2013,1
Alex Stalock,2014,1
Alex Stalock,2015,1
Alex Stalock,2016,1
Alex Stalock,2017,1
Alex Stalock,2018,1
Alex Stalock,2019,1
Alex Stalock,2020,1
Alex Stalock,2022,1
Alex Stalock,2023,1
Alex Steeves,2022,1
Alex Steeves,2023,1
Alex Tanguay,2006,1
Alex Tanguay,2007,1
Alex Tanguay,2008,1
Alex Tanguay,2009,1
Alex Tanguay,2010,1
Alex Tanguay,2011,1
Alex Tanguay,2012,1
Alex Tanguay,2013,1
Alex Tanguay,2014,1
Alex Tanguay,2015,1
Alex Tanguay,2016,2
Alex Tuch,2017,1
Alex Tuch,2018,1
Alex Tuch,2019,1
Alex Tuch,2020,1
Alex Tuch,2021,1
Alex Tuch,2022,1
Alex Tuch,2023,1
Alex Turcotte,2022,1
Alex Turcotte,2023,1
Alex Vlasic,2022,1
Alex Vlasic,2023,1
Alexandar Georgiev,2018,1
Alexandar Georgiev,2019,1
Alexandar Georgiev,2020,1
Alexandar Georgiev,2021,1
Alexandar Georgiev,2022,1
Alexandar Georgiev,2023,1
Alexander Alexeyev,2022,1
Alexander Alexeyev,2023,1
Alexander Barabanov,2021,2
Alexander Barabanov,2022,1
Alexander Barabanov,2023,1
Alexander Burmistrov,2011,1
Alexander Burmistrov,2012,1
Alexander Burmistrov,2013,1
Alexander Burmistrov,2016,1
Alexander Burmistrov,2017,2
Alexander Burmistrov,2018,1
Alexander Edler,2007,1
Alexander Edler,2008,1
Alexander Edler,2009,1
Alexander Edler,2010,1
Alexander Edler,2011,1
Alexander Edler,2012,1
Alexander Edler,2013,1
Alexander Edler,2014,1
Alexander Edler,2015,1
Alexander Edler,2016,1
Alexander Edler,2017,1
Alexander Edler,2018,1
Alexander Edler,2019,1
Alexander Edler,2020,1
Alexander Edler,2021,1
Alexander Edler,2022,1
Alexander Edler,2023,1
Alexander Holtz,2022,1
Alexander Holtz,2023,1
Alexander Karpovtsev,2006,1
Alexander Kerfoot,2018,1
Alexander Kerfoot,2019,1
Alexander Kerfoot,2020,1
Alexander Kerfoot,2021,1
Alexander Kerfoot,2022,1
Alexander Kerfoot,2023,1
Alexander Khavanov,2006,1
Alexander Khokhlachev,2014,1
Alexander Khokhlachev,2015,1
Alexander Khokhlachev,2016,1
Alexander Mogilny,2006,1
Alexander Nikulin,2008,1
Alexander Nikulin,2009,1
Alexander Nylander,2017,1
Alexander Nylander,2018,1
Alexander Nylander,2019,1
Alexander Nylander,2020,1
Alexander Nylander,2023,1
Alexander Pechurski,2010,1
Alexander Perezhogin,2006,1
Alexander Perezhogin,2007,1
Alexander Petrovic,2013,1
Alexander Petrovic,2014,1
Alexander Petrovic,2015,1
Alexander Petrovic,2016,1
Alexander Petrovic,2017,1
Alexander Petrovic,2018,1
Alexander Petrovic,2019,2
Alexander Radulov,2007,1
Alexander Radulov,2008,1
Alexander Radulov,2012,1
Alexander Radulov,2017,1
Alexander Radulov,2018,1
Alexander Radulov,2019,1
Alexander Radulov,2020,1
Alexander Radulov,2021,1
Alexander Radulov,2022,1
Alexander Romanov,2021,1
Alexander Romanov,2022,1
Alexander Romanov,2023,1
Alexander Salák,2010,1
Alexander Semin,2007,1
Alexander Semin,2008,1
Alexander Semin,2009,1
Alexander Semin,2010,1
Alexander Semin,2011,1
Alexander Semin,2012,1
Alexander Semin,2013,1
Alexander Semin,2014,1
Alexander Semin,2015,1
Alexander Semin,2016,1
Alexander Steen,2006,1
Alexander Steen,2007,1
Alexander Steen,2008,1
Alexander Steen,2009,2
Alexander Steen,2010,1
Alexander Steen,2011,1
Alexander Steen,2012,1
Alexander Steen,2013,1
Alexander Steen,2014,1
Alexander Steen,2015,1
Alexander Steen,2016,1
Alexander Steen,2017,1
Alexander Steen,2018,1
Alexander Steen,2019,1
Alexander Steen,2020,1
Alexander Suglobov,2006,2
Alexander Suglobov,2007,1
Alexander Sulzer,2009,1
Alexander Sulzer,2010,1
Alexander Sulzer,2011,2
Alexander Sulzer,2012,2
Alexander Sulzer,2013,1
Alexander Sulzer,2014,1
Alexander Svitov,2007,1
Alexander True,2020,1
Alexander True,2021,1
Alexander True,2022,1
Alexander Urbom,2011,1
Alexander Urbom,2012,1
Alexander Urbom,2013,1
Alexander Urbom,2014,1
Alexander Vasyunov,2011,1
Alexander Volkov,2020,1
Alexander Volkov,2021,2
Alexander Wennberg,2015,1
Alexander Wennberg,2016,1
Alexander Wennberg,2017,1
Alexander Wennberg,2018,1
Alexander Wennberg,2019,1
Alexander Wennberg,2020,1
Alexander Wennberg,2021,1
Alexander Wennberg,2022,1
Alexander Wennberg,2023,1
Alexander Yelesin,2020,1
Alexandre Bolduc,2009,1
Alexandre Bolduc,2010,1
Alexandre Bolduc,2011,1
Alexandre Bolduc,2012,1
Alexandre Bolduc,2013,1
Alexandre Bolduc,2015,1
Alexandre Burrows,2006,1
Alexandre Burrows,2007,1
Alexandre Burrows,2008,1
Alexandre Burrows,2009,1
Alexandre Burrows,2010,1
Alexandre Burrows,2011,1
Alexandre Burrows,2012,1
Alexandre Burrows,2013,1
Alexandre Burrows,2014,1
Alexandre Burrows,2015,1
Alexandre Burrows,2016,1
Alexandre Burrows,2017,2
Alexandre Burrows,2018,1
Alexandre Carrier,2017,1
Alexandre Carrier,2020,1
Alexandre Carrier,2021,1
Alexandre Carrier,2022,1
Alexandre Carrier,2023,1
Alexandre Daigle,2006,1
Alexandre Fortin,2019,1
Alexandre Giroux,2006,1
Alexandre Giroux,2007,1
Alexandre Giroux,2009,1
Alexandre Giroux,2010,1
Alexandre Giroux,2011,1
Alexandre Giroux,2012,1
Alexandre Grenier,2016,1
Alexandre Grenier,2017,1
Alexandre Picard,2006,2
Alexandre Picard,2007,2
Alexandre Picard,2008,3
Alexandre Picard,2009,2
Alexandre Picard,2010,3
Alexandre Picard,2011,1
Alexandre Picard,2012,1
Alexandre Texier,2019,1
Alexandre Texier,2020,1
Alexandre Texier,2021,1
Alexandre Texier,2022,1
Alexei Emelin,2012,1
Alexei Emelin,2013,1
Alexei Emelin,2014,1
Alexei Emelin,2015,1
Alexei Emelin,2016,1
Alexei Emelin,2017,1
Alexei Emelin,2018,1
Alexei Kaigorodov,2007,1
Alexei Melnichuk,2021,1
Alexei Mikhnov,2007,1
Alexei Ponikarovsky,2006,1
Alexei Ponikarovsky,2007,1
Alexei Ponikarovsky,2008,1
Alexei Ponikarovsky,2009,1
Alexei Ponikarovsky,2010,2
Alexei Ponikarovsky,2011,1
Alexei Ponikarovsky,2012,2
Alexei Ponikarovsky,2013,2
Alexei Semenov,2006,2
Alexei Semenov,2007,1
Alexei Semenov,2008,1
Alexei Semenov,2009,1
Alexei Yashin,2006,1
Alexei Yashin,2007,1
Alexei Zhamnov,2006,1
Alexei Zhitnik,2006,1
Alexei Zhitnik,2007,3
Alexei Zhitnik,2008,1
Alexey Marchenko,2014,1
Alexey Marchenko,2015,1
Alexey Marchenko,2016,1
Alexey Marchenko,2017,2
Alexey Toropchenko,2022,1
Alexey Toropchenko,2023,1
Alexis Lafrenière,2021,1
Alexis Lafrenière,2022,1
Alexis Lafrenière,2023,1
Aleš Hemský,2006,1
Aleš Hemský,2007,1
Aleš Hemský,2008,1
Aleš Hemský,2009,1
Aleš Hemský,2010,1
Aleš Hemský,2011,1
Aleš Hemský,2012,1
Aleš Hemský,2013,1
Aleš Hemský,2014,2
Aleš Hemský,2015,1
Aleš Hemský,2016,1
Aleš Hemský,2017,1
Aleš Hemský,2018,1
Aleš Kotalík,2006,1
Aleš Kotalík,2007,1
Aleš Kotalík,2008,1
Aleš Kotalík,2009,2
Aleš Kotalík,2010,2
Aleš Kotalík,2011,1
Aliaksei Protas,2022,1
Aliaksei Protas,2023,1
Allan Rourke,2006,1
Allan Rourke,2007,1
Allan Rourke,2008,1
Allen York,2012,1
Alyn McCauley,2006,1
Alyn McCauley,2007,1
Anders Bjork,2018,1
Anders Bjork,2019,1
Anders Bjork,2020,1
Anders Bjork,2021,2
Anders Bjork,2022,1
Anders Bjork,2023,2
Anders Eriksson,2007,1
Anders Eriksson,2008,1
Anders Eriksson,2010,2
Anders Lee,2013,1
Anders Lee,2014,1
Anders Lee,2015,1
Anders Lee,2016,1
Anders Lee,2017,1
Anders Lee,2018,1
Anders Lee,2019,1
Anders Lee,2020,1
Anders Lee,2021,1
Anders Lee,2022,1
Anders Lee,2023,1
Anders Lindbäck,2011,1
Anders Lindbäck,2012,1
Anders Lindbäck,2013,1
Anders Lindbäck,2014,1
Anders Lindbäck,2015,2
Anders Lindbäck,2016,1
Anders Nilsson,2012,1
Anders Nilsson,2014,1
Anders Nilsson,2016,2
Anders Nilsson,2017,1
Anders Nilsson,2018,1
Anders Nilsson,2019,2
Anders Nilsson,2020,1
Andre Petersson,2012,1
Andreas Athanasiou,2016,1
Andreas Athanasiou,2017,1
Andreas Athanasiou,2018,1
Andreas Athanasiou,2019,1
Andreas Athanasiou,2020,2
Andreas Athanasiou,2021,1
Andreas Athanasiou,2022,1
Andreas Athanasiou,2023,1
Andreas Borgman,2018,1
Andreas Borgman,2021,1
Andreas Englund,2017,1
Andreas Englund,2018,1
Andreas Englund,2019,1
Andreas Englund,2020,1
Andreas Englund,2023,2
Andreas Engqvist,2011,1
Andreas Engqvist,2012,1
Andreas Johnsson,2018,1
Andreas Johnsson,2019,1
Andreas Johnsson,2020,1
Andreas Johnsson,2021,1
Andreas Johnsson,2022,1
Andreas Johnsson,2023,2
Andreas Karlsson,2007,1
Andreas Karlsson,2008,1
Andreas Lilja,2006,1
Andreas Lilja,2007,1
Andreas Lilja,2008,1
Andreas Lilja,2009,1
Andreas Lilja,2010,1
Andreas Lilja,2011,1
Andreas Lilja,2012,1
Andreas Lilja,2013,1
Andreas Martinsen,2016,1
Andreas Martinsen,2017,2
Andreas Martinsen,2018,1
Andreas Martinsen,2019,1
Andreas Nödl,2009,1
Andreas Nödl,2010,1
Andreas Nödl,2011,1
Andreas Nödl,2012,2
Andreas Nödl,2013,1
Andreas Thuresson,2010,1
Andreas Thuresson,2011,1
Andrei Chibisov,2020,1
Andrei Kostitsyn,2006,1
Andrei Kostitsyn,2007,1
Andrei Kostitsyn,2008,1
Andrei Kostitsyn,2009,1
Andrei Kostitsyn,2010,1
Andrei Kostitsyn,2011,1
Andrei Kostitsyn,2012,2
Andrei Kuzmenko,2023,1
Andrei Loktionov,2010,1
Andrei Loktionov,2011,1
Andrei Loktionov,2012,1
Andrei Loktionov,2013,1
Andrei Loktionov,2014,2
Andrei Markov,2006,1
Andrei Markov,2007,1
Andrei Markov,2008,1
Andrei Markov,2009,1
Andrei Markov,2010,1
Andrei Markov,2011,1
Andrei Markov,2012,1
Andrei Markov,2013,1
Andrei Markov,2014,1
Andrei Markov,2015,1
Andrei Markov,2016,1
Andrei Markov,2017,1
Andrei Mironov,2018,1
Andrei Nazarov,2006,1
Andrei Svechnikov,2019,1
Andrei Svechnikov,2020,1
Andrei Svechnikov,2021,1
Andrei Svechnikov,2022,1
Andrei Svechnikov,2023,1
Andrei Vasilevskiy,2015,1
Andrei Vasilevskiy,2016,1
Andrei Vasilevskiy,2017,1
Andrei Vasilevskiy,2018,1
Andrei Vasilevskiy,2019,1
Andrei Vasilevskiy,2020,1
Andrei Vasilevskiy,2021,1
Andrei Vasilevskiy,2022,1
Andrei Vasilevskiy,2023,1
Andrei Zubarev,2011,1
Andrei Zyuzin,2006,1
Andrei Zyuzin,2007,1
Andrei Zyuzin,2008,1
Andrej Meszároš,2006,1
Andrej Meszároš,2007,1
Andrej Meszároš,2008,1
Andrej Meszároš,2009,1
Andrej Meszároš,2010,1
Andrej Meszároš,2011,1
Andrej Meszároš,2012,1
Andrej Meszároš,2013,1
Andrej Meszároš,2014,2
Andrej Meszároš,2015,1
Andrej Nestrašil,2015,2
Andrej Nestrašil,2016,1
Andrej Nestrašil,2017,1
Andrej Sekera,2007,1
Andrej Sekera,2008,1
Andrej Sekera,2009,1
Andrej Sekera,2010,1
Andrej Sekera,2011,1
Andrej Sekera,2012,1
Andrej Sekera,2013,1
Andrej Sekera,2014,1
Andrej Sekera,2015,2
Andrej Sekera,2016,1
Andrej Sekera,2017,1
Andrej Sekera,2018,1
Andrej Sekera,2019,1
Andrej Sekera,2020,1
Andrej Sekera,2021,1
Andrej Sekera,2022,1
Andrej Šustr,2013,1
Andrej Šustr,2014,1
Andrej Šustr,2015,1
Andrej Šustr,2016,1
Andrej Šustr,2017,1
Andrej Šustr,2018,1
Andrej Šustr,2019,1
Andrej Šustr,2022,2
Andrew Agozzino,2015,1
Andrew Agozzino,2016,1
Andrew Agozzino,2019,1
Andrew Agozzino,2020,2
Andrew Agozzino,2021,1
Andrew Agozzino,2022,1
Andrew Agozzino,2023,1
Andrew Alberts,2006,1
Andrew Alberts,2007,1
Andrew Alberts,2008,1
Andrew Alberts,2009,1
Andrew Alberts,2010,2
Andrew Alberts,2011,1
Andrew Alberts,2012,1
Andrew Alberts,2013,1
Andrew Alberts,2014,1
Andrew Bodnarchuk,2010,1
Andrew Bodnarchuk,2016,2
Andrew Brunette,2006,1
Andrew Brunette,2007,1
Andrew Brunette,2008,1
Andrew Brunette,2009,1
Andrew Brunette,2010,1
Andrew Brunette,2011,1
Andrew Brunette,2012,1
Andrew Campbell,2014,1
Andrew Campbell,2015,1
Andrew Campbell,2016,1
Andrew Cassels,2006,1
Andrew Cogliano,2008,1
Andrew Cogliano,2009,1
Andrew Cogliano,2010,1
Andrew Cogliano,2011,1
Andrew Cogliano,2012,1
Andrew Cogliano,2013,1
Andrew Cogliano,2014,1
Andrew Cogliano,2015,1
Andrew Cogliano,2016,1
Andrew Cogliano,2017,1
Andrew Cogliano,2018,1
Andrew Cogliano,2019,2
Andrew Cogliano,2020,1
Andrew Cogliano,2021,1
Andrew Cogliano,2022,2
Andrew Cogliano,2023,1
Andrew Copp,2015,1
Andrew Copp,2016,1
Andrew Copp,2017,1
Andrew Copp,2018,1
Andrew Copp,2019,1
Andrew Copp,2020,1
Andrew Copp,2021,1
Andrew Copp,2022,2
Andrew Copp,2023,1
Andrew Crescenzi,2018,1
Andrew Desjardins,2011,1
Andrew Desjardins,2012,1
Andrew Desjardins,2013,1
Andrew Desjardins,2014,1
Andrew Desjardins,2015,2
Andrew Desjardins,2016,1
Andrew Desjardins,2017,1
Andrew Ebbett,2008,1
Andrew Ebbett,2009,1
Andrew Ebbett,2010,3
Andrew Ebbett,2011,1
Andrew Ebbett,2012,1
Andrew Ebbett,2013,1
Andrew Ebbett,2014,1
Andrew Ebbett,2015,1
Andrew Ference,2006,1
Andrew Ference,2007,2
Andrew Ference,2008,1
Andrew Ference,2009,1
Andrew Ference,2010,1
Andrew Ference,2011,1
Andrew Ference,2012,1
Andrew Ference,2013,1
Andrew Ference,2014,1
Andrew Ference,2015,1
Andrew Ference,2016,1
Andrew Gordon,2009,1
Andrew Gordon,2010,1
Andrew Gordon,2011,1
Andrew Gordon,2012,1
Andrew Gordon,2013,1
Andrew Hammond,2014,1
Andrew Hammond,2015,1
Andrew Hammond,2016,1
Andrew Hammond,2017,1
Andrew Hammond,2018,1
Andrew Hammond,2022,2
Andrew Hutchinson,2006,1
Andrew Hutchinson,2007,1
Andrew Hutchinson,2009,2
Andrew Hutchinson,2011,1
Andrew Joudrey,2012,1
Andrew Ladd,2006,1
Andrew Ladd,2007,1
Andrew Ladd,2008,2
